UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
409254,"R",133,"R",9362081,"R",4,"R",230881,"R",3,"R",272367,"R",3,"R",175034,"R",26,"R",3232427,"R",3,"R",150728,"R",8,"R",472855,"R",52,"R",3092620,"R",12,"R",665929,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",1069240,"Z",0,"Z",0,"Z",0,"Z",0
409315,"R",863,"R",35192966,"Z",0,"Z",0,"Z",0,"Z",0,"R",137,"R",5071232,"R",124,"R",8462878,"R",107,"R",4618969,"R",104,"R",4307771,"R",49,"R",2045571,"R",1,"R",31950,"R",106,"R",3155459,"Z",0,"Z",0,"R",190,"R",5824915,"R",28,"R",1166766,"R",17,"R",507455
409379,"R",135,"R",11000458,"Z",0,"Z",0,"Z",0,"Z",0,"R",54,"R",4296294,"R",29,"R",3989501,"R",4,"R",302102,"R",11,"R",491327,"R",6,"R",558326,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",31,"R",1362908,"Z",0,"Z",0,"Z",0,"Z",0
409616,"R",37,"R",2782989,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",374606,"R",16,"R",1735257,"R",1,"R",58000,"Z",0,"Z",0,"R",2,"R",128616,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",486510,"Z",0,"Z",0,"Z",0,"Z",0
409698,"R",522,"R",35027136,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",1312644,"R",55,"R",7257000,"R",119,"R",8158236,"R",72,"R",5055936,"R",99,"R",5429388,"R",4,"R",276984,"R",16,"R",1293384,"Z",0,"Z",0,"R",104,"R",4440624,"R",22,"R",1326696,"R",8,"R",476244
410283,"R",10,"R",615018,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",149501,"R",6,"R",418530,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",46987,"Z",0,"Z",0,"Z",0,"Z",0
410496,"R",21,"R",1406085,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",94847,"R",3,"R",462332,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",692015,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",156891,"Z",0,"Z",0,"Z",0,"Z",0
410502,"R",57,"R",3656699,"Z",0,"Z",0,"Z",0,"Z",0,"R",39,"R",2272009,"R",10,"R",954255,"R",4,"R",260938,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",169497,"Z",0,"Z",0,"Z",0,"Z",0
412003,"R",3,"R",89801,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",89801,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
412173,"R",10,"R",719284,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",366782,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",352502,"Z",0,"Z",0,"Z",0,"Z",0
412599,"R",25,"R",1248396,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",480182,"R",1,"R",29120,"R",1,"R",50003,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",37440,"R",6,"R",350008,"R",8,"R",301643,"Z",0,"Z",0,"Z",0,"Z",0
