UNITID,CONTRACT,ARANK,XTENUREM,TENUREM,XONTRCKM,ONTRCKM,XNOTRCKM,NOTRCKM,XNOFACTM,NOFACTM,XTENUREW,TENUREW,XONTRCKW,ONTRCKW,XNOTRCKW,NOTRCKW,XNOFACTW,NOFACTW,XEMPCNTT,EMPCNTT 
106397,2,3,"Z",0,"R",5,"R",5,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",13
106397,2,4,"Z",0,"Z",0,"R",19,"Z",0,"Z",0,"Z",0,"R",15,"Z",0,"R",34
106397,2,5,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",6
106397,2,7,"R",147,"R",8,"R",33,"Z",0,"R",42,"R",3,"R",21,"Z",0,"R",254
106412,1,1,"R",10,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",13
106412,1,2,"R",14,"R",2,"R",1,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",22
106412,1,3,"R",6,"R",6,"R",4,"Z",0,"R",5,"R",5,"R",2,"Z",0,"R",28
106412,1,4,"Z",0,"Z",0,"R",13,"Z",0,"R",2,"Z",0,"R",33,"Z",0,"R",48
106412,1,7,"R",30,"R",8,"R",18,"Z",0,"R",10,"R",10,"R",35,"Z",0,"R",111
106412,2,1,"R",11,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",16
106412,2,2,"R",9,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"R",15
106412,2,3,"R",3,"R",7,"Z",0,"Z",0,"R",3,"R",3,"R",3,"Z",0,"R",19
106412,2,4,"Z",0,"Z",0,"R",5,"Z",0,"R",1,"Z",0,"R",13,"Z",0,"R",19
106412,2,7,"R",23,"R",7,"R",5,"Z",0,"R",12,"R",6,"R",16,"Z",0,"R",69
106458,1,1,"R",70,"Z",0,"Z",0,"Z",0,"R",20,"Z",0,"Z",0,"Z",0,"R",90
106458,1,2,"R",45,"R",7,"Z",0,"Z",0,"R",47,"R",5,"Z",0,"Z",0,"R",104
106458,1,3,"R",10,"R",45,"R",5,"Z",0,"R",14,"R",50,"R",6,"Z",0,"R",130
